country,region,income_ppp,life_expectancy,population_millions
Maldives,South Asia,14408,79.5,0.36
Iceland,Europe & Central Asia,42182,82.8,0.33
Barbados,Americas,12984,75.8,0.28
Vanuatu,East Asia & Pacific,2912,65,0.26
Samoa,East Asia & Pacific,5558,72.2,0.19
Sao Tome and Principe,Sub-Saharan Africa,3003,68.8,0.19
St. Lucia,Americas,9997,74.5,0.18
Grenada,Americas,11593,71.7,0.11
Kiribati,East Asia & Pacific,1824,62.4,0.11
St. Vincent and the Grenadines,Americas,10435,72.9,0.11
Tonga,East Asia & Pacific,5069,70.5,0.11
"Micronesia, Fed. Sts.",East Asia & Pacific,3510,67,0.1
Seychelles,Sub-Saharan Africa,25684,73.7,0.1
Antigua and Barbuda,Americas,21049,75.2,0.09
Andorra,Europe & Central Asia,46577,84.1,0.07
Dominica,Americas,10503,74.6,0.07
Marshall Islands,East Asia & Pacific,3661,65.1,0.05
